id,name,handedness,height,weight,avg,HR
1,Tom Brown,R,73,170,0,0
2,Denny Lemaster,R,73,182,0.13,4
3,Joe Nolan,L,71,175,0.263,27
4,Denny Doyle,L,69,175,0.25,16
5,Jose Cardenal,R,70,150,0.275,138
6,Mike Ryan,R,74,205,0.193,28
7,Fritz Peterson,B,72,185,0.159,2
8,Dick Bertell,R,72,200,0.25,10
9,Rod Kanehl,R,73,180,0.241,6
10,Ozzie Osborn,R,74,195,0,0
11,John LaRose,L,73,185,0,0
12,Jeff Byrd,R,75,195,0,0
13,Juan Bonilla,R,69,170,0.256,7
14,Frank Tepedino,L,71,185,0.241,6
15,Jerry Kutzler,L,73,175,0,0
16,Rick Wise,R,73,180,0.195,15
17,Darrell Evans,L,74,200,0.248,414
18,Buck Martinez,R,70,190,0.225,58
19,John Wockenfuss,R,72,190,0.262,86
20,Tommy McCraw,L,72,183,0.246,75
21,Jeff Barkley,B,75,185,0,0
22,Eric Wilkins,R,73,190,0,0
23,Britt Burns,L,77,215,0,0
24,Lee Lacy,R,73,175,0.286,91
25,Pete Rose,B,71,192,0.303,160
26,Danny Walton,R,72,195,0.223,28
27,Bobby Cox,R,71,180,0.225,9
28,Brad Wellman,R,72,170,0.231,6
29,Jeff Newman,R,74,215,0.224,63
30,Pedro Gonzalez,R,72,176,0.244,8
31,Nardi Contreras,B,74,193,0,0
32,Tommie Reynolds,R,74,190,0.226,12
33,Gene Clines,R,69,170,0.277,5
34,Jim Hickman,R,75,192,0.252,159
35,Jack Billingham,R,76,195,0.111,0
36,Jerry Buchek,R,71,185,0.22,22
37,Ivan DeJesus,R,71,175,0.254,21
38,Gary Nolan,R,74,197,0.138,1
39,Gil Patterson,R,73,185,0,0
40,Fred Whitfield,L,73,190,0.253,108
41,Larry Dierker,R,76,215,0.136,4
42,Dave Skaggs,R,74,200,0.241,3
43,Dick Ruthven,R,75,190,0.183,1
44,Jerry Garvin,L,75,195,0,0
45,Steve Eddy,R,74,185,0,0
46,Dave Kingman,R,78,210,0.236,442
47,Eric Soderholm,R,71,187,0.264,102
48,Kevin Mmahat,L,77,220,0,0
49,Ed Brinkman,R,72,170,0.224,60
50,Wayne Garrett,L,71,175,0.239,61
51,Tony Muser,L,74,180,0.259,7
52,Jim Siwy,R,76,200,0,0
53,Bud Anderson,R,75,210,0,0
54,Ted Ford,R,70,180,0.219,17
55,Kevin Stanfield,L,72,190,0,0
56,Jim Lyttle,L,72,180,0.248,9
57,John Butcher,R,76,185,0,0
58,Jerry Ujdur,R,73,195,0,0
59,Scot Thompson,L,75,195,0.262,5
60,Gene Locklear,L,70,165,0.274,9
61,Bo Diaz,R,71,185,0.255,87
62,Bump Wills,B,69,172,0.266,36
63,Brian Denman,R,76,205,0,0
64,Pat Putnam,L,72,205,0.255,63
65,Kurt Bevacqua,R,72,180,0.236,27
66,Bob Fallon,L,75,200,0,0
67,Syd O'Brien,R,73,185,0.23,24
68,Chris Chambliss,L,73,195,0.279,185
69,Tom Satriano,L,73,185,0.225,21
70,Jeffrey Leonard,R,74,200,0.266,144
71,Dal Maxvill,R,71,157,0.217,6
72,Steve Curry,R,78,217,0,0
73,Cesar Tovar,R,69,155,0.278,46
74,Mickey Lolich,B,73,170,0.11,0
75,Ray Chadwick,B,74,180,0,0
76,Jack Heidemann,R,72,175,0.211,9
77,Rich Rollins,R,70,185,0.269,77
78,Walt Bond,L,79,228,0.256,41
79,Merv Rettenmund,R,70,190,0.271,66
80,Bryan Clutterbuck,R,76,223,0,0
81,Byron Browne,R,74,190,0.236,30
82,Hector Torres,R,72,175,0.216,18
83,Walt Williams,R,66,165,0.27,33
84,Jerry Koosman,R,74,205,0.119,2
85,Steve Lombardozzi,R,72,175,0.233,20
86,Joe Azcue,R,72,190,0.252,50
87,Elliott Maddox,R,71,180,0.261,18
88,Omar Moreno,L,74,180,0.252,37
89,Julian Javier,R,73,175,0.257,78
90,Tony Ferreira,L,73,160,0,0
91,Elio Chacon,R,69,160,0.232,4
92,Rusty Torres,B,70,175,0.212,35
93,John Stearns,R,72,185,0.26,46
94,Larry Brown,R,70,160,0.233,47
95,Tommy Dean,R,72,165,0.18,4
96,Bryan Oelkers,L,75,192,0,0
97,Kevin Bearse,L,74,195,0,0
98,Marty Martinez,B,72,170,0.243,0
99,Bruce Boisclair,L,74,185,0.263,10
100,Ken Singleton,B,76,210,0.282,246
101,Frank White,R,71,165,0.255,160
102,Jim Fairey,L,70,190,0.235,7
103,Jose Roman,R,72,175,0,0
104,Tom Brookens,R,70,165,0.246,71
105,Gary Thomasson,L,73,180,0.249,61
106,Mike Trujillo,R,73,180,0,0
107,Albert Williams,R,76,190,0,0
108,Oswaldo Peraza,R,76,172,0,0
109,Otto Velez,R,72,170,0.251,78
110,Tony Scott,B,72,164,0.249,17
111,Ray Oyler,R,71,165,0.175,15
112,Barry Cort,R,77,210,0,0
113,Floyd Robinson,L,69,175,0.283,67
114,Steve Jeltz,B,71,180,0.21,5
115,Lou Brock,L,71,170,0.293,149
116,Bill Wilkinson,R,70,160,0,0
117,Joe Lovitto,B,72,185,0.216,4
118,Mike Loynd,R,76,210,0,0
119,Wayne Comer,R,70,175,0.229,16
120,Dave Collins,B,71,175,0.272,32
121,Ed Spiezio,R,71,180,0.238,39
122,Rico Petrocelli,R,72,175,0.251,210
123,Johnny Lewis,L,73,189,0.227,22
124,Dick Simpson,R,76,176,0.207,15
125,Ken Boswell,L,72,170,0.248,31
126,Ken McMullen,R,75,190,0.248,156
127,Randy Scarbery,B,73,185,0,0
128,Steve Swisher,R,74,205,0.216,20
129,Ben Callahan,R,79,230,0,0
130,Dick Howser,R,68,155,0.248,16
131,Manny Castillo,B,69,160,0.242,3
132,Mike Ramsey,B,73,170,0.24,2
133,Willie Crawford,L,73,197,0.268,86
134,Bobby Cuellar,R,71,188,0,0
135,Willie Norwood,R,72,185,0.242,18
136,Mike Jones,L,78,215,0,0
137,Jeff Stone,L,72,175,0.277,11
138,Ramon Manon,R,72,150,0,0
139,Joe Lahoud,L,73,198,0.223,65
140,Tim Flannery,L,71,175,0.255,9
141,Dave McKay,B,73,195,0.229,21
142,John Trautwein,R,75,205,0,0
143,Andy Replogle,R,77,205,0,0
144,Zach Crouch,L,75,180,0,0
145,Benny Ayala,R,73,185,0.251,38
146,Ron Romanick,R,76,195,0,0
147,Greg Gross,L,70,160,0.287,7
148,Bruce Tanner,L,75,220,0,0
149,Sal Butera,R,72,190,0.227,8
150,Jack Brohamer,L,70,165,0.245,30
151,Von Joshua,L,70,170,0.273,30
152,Eddie Milner,L,71,173,0.253,42
153,Johnny Jeter,R,73,180,0.244,18
154,Angel Salazar,R,72,180,0.212,2
155,Tony Oliva,L,73,175,0.304,220
156,Cito Gaston,R,75,190,0.256,91
157,Cookie Rojas,R,70,160,0.263,54
158,Rich Morales,R,71,170,0.195,6
159,Dave Ford,R,76,190,0,0
160,Dan Ford,R,73,185,0.27,121
161,Barry Raziano,B,70,175,0,0
162,Darryl Motley,R,69,196,0.243,44
163,Ozzie Virgil,R,73,180,0.243,98
164,Johnny Oates,L,71,188,0.25,14
165,Pat Underwood,L,72,175,0,0
166,Mike Phillips,L,72,170,0.24,11
167,Ron Santo,R,72,190,0.277,342
168,Jay Johnstone,L,73,175,0.267,102
169,Jim Ray Hart,R,71,185,0.278,170
170,Marc Hill,R,75,205,0.223,34
171,Joel McKeon,L,72,185,0,0
172,Danny Fife,R,75,175,0,0
173,Chico Salmon,R,70,160,0.249,31
174,Joe Niekro,R,73,185,0.156,1
175,Andy Etchebarren,R,73,190,0.235,49
176,Ken Berry,R,72,175,0.255,58
177,Dave Concepcion,R,74,155,0.267,101
178,Junior Moore,R,71,185,0.264,7
179,Mike Richardt,R,72,170,0.226,4
180,Chris Brown,R,72,185,0.269,38
181,Al Bumbry,L,68,170,0.281,54
182,Al Downing,R,71,175,0.127,2
183,Bob Didier,B,72,190,0.229,0
184,Jake Gibbs,L,72,180,0.233,25
185,Garry Hancock,L,72,175,0.247,12
186,Ed Kranepool,L,75,205,0.261,118
187,Rick Rhoden,R,75,195,0.238,9
188,Denny McLain,R,73,185,0.133,1
189,Chuck Hiller,L,71,170,0.243,20
190,Jorge Orta,L,70,170,0.278,130
191,Dave Cash,R,71,170,0.283,21
192,Bucky Dent,R,69,170,0.247,40
193,Andy Beene,R,75,205,0,0
194,Bruce Robbins,L,73,190,0,0
195,Tony Gonzalez,L,69,170,0.286,103
196,Leon Hooten,R,71,180,0,0
197,Larry Haney,R,74,195,0.215,12
198,Billy Conigliaro,R,72,180,0.256,40
199,Gary Roenicke,R,75,205,0.247,121
200,Don Lock,R,74,195,0.238,122
201,Billy Cowan,R,72,170,0.236,40
202,Billy Smith,B,74,185,0.23,17
203,Allan Ramirez,R,70,180,0,0
204,Tony Perez,R,74,175,0.279,379
205,Chuck Schilling,R,70,160,0.239,23
206,Hal McRae,R,71,180,0.29,191
207,Dave Roberts,R,75,215,0.239,49
208,Brian Allard,R,73,175,0,0
209,Jim Lefebvre,B,72,180,0.251,74
210,Fernando Arroyo,R,74,180,0,0
211,Gary Beare,R,76,205,0,0
212,Charlie Spikes,R,75,215,0.246,65
213,Brian Dubois,L,70,165,0,0
214,Steve Whitaker,L,72,180,0.23,24
215,Manny Jimenez,L,73,185,0.272,26
216,Chris Batton,R,76,195,0,0
217,Duffy Dyer,R,72,187,0.221,30
218,Ken Henderson,B,74,180,0.257,122
219,Vance Lovelace,L,77,205,0,0
220,Greg Thayer,R,71,182,0,0
221,Vern Fuller,R,73,170,0.232,14
222,Paul Hartzell,R,77,200,0,0
223,Wayne Gross,L,74,210,0.233,121
224,Mike Champion,R,72,185,0.229,2
225,Ralph Botting,L,72,195,0,0
226,Paul Casanova,R,76,180,0.225,50
227,Steve Rogers,R,74,175,0.138,0
228,Keith Creel,R,74,180,0,0
229,Terry Crowley,L,72,180,0.25,42
230,Horace Clarke,B,69,170,0.256,27
231,Lou Clinton,R,73,185,0.247,65
232,Larry Cox,R,70,178,0.221,12
233,Nate Colbert,R,74,190,0.243,173
234,Phil Roof,R,74,190,0.215,43
235,Chuck Hinton,R,73,180,0.264,113
236,Tim Cullen,R,73,185,0.22,9
237,Tim Harkness,L,74,182,0.235,14
238,Rick Bosetti,R,71,185,0.25,17
239,Ron Pruitt,R,72,185,0.269,12
240,George Foster,R,73,180,0.274,348
241,Jerry White,B,70,164,0.253,21
242,Angel Mangual,R,70,178,0.245,22
243,Ken Gerhart,R,72,190,0.221,24
244,Mike Hershberger,R,70,175,0.252,26
245,Jim French,L,68,180,0.196,5
246,Dave Roberts,L,75,195,0.194,7
247,Jim Mason,L,74,185,0.203,12
248,Mike Smith,R,75,180,0,0
249,Willie Smith,L,72,182,0.248,46
250,T.R. Bryden,R,76,190,0,0
251,Jose Arcia,R,75,170,0.215,1
252,Leon Durham,L,73,185,0.277,147
253,Tom Makowski,R,71,185,0,0
254,Paul Householder,B,72,180,0.236,29
255,Aurelio Rodriguez,R,70,180,0.237,124
256,Jimmy Stewart,B,72,165,0.237,8
257,Dick Phillips,L,72,180,0.229,12
258,Andres Thomas,R,73,170,0.234,42
259,Ed Crosby,L,74,175,0.22,0
260,Mike de la Hoz,R,71,175,0.251,25
261,Frank Taveras,R,72,155,0.255,2
262,Joe Nossek,R,72,178,0.228,3
263,Larry Stahl,L,72,175,0.232,36
264,Jose Cruz,L,72,170,0.284,165
265,Don Mason,L,71,160,0.205,3
266,Bill Robinson,R,74,189,0.258,166
267,Jim Umbarger,L,78,200,0,0
268,Sal Bando,R,72,195,0.254,242
269,George Mitterwald,R,74,195,0.236,76
270,Mike Darr,R,76,190,0,0
271,Craig Robinson,R,70,165,0.219,0
272,Bob Tillman,R,76,205,0.232,79
273,Curt Wardle,L,77,220,0,0
274,Pat Corrales,R,72,180,0.216,4
275,Mike Tyson,R,69,170,0.241,27
276,Rafael Landestoy,B,70,165,0.237,4
277,Duane Josephson,R,72,190,0.258,23
278,Duane Walker,L,72,185,0.229,24
279,Glenn Hubbard,R,69,150,0.244,70
280,Roger Freed,R,72,190,0.245,22
281,George Hendrick,R,75,195,0.278,267
282,Rod Carew,L,72,170,0.328,92
283,Bob Davis,R,72,180,0.197,6
284,Toby Harrah,R,72,175,0.264,195
285,Rick Manning,L,73,180,0.257,56
286,Israel Sanchez,L,69,170,0,0
287,Steve Burke,B,74,200,0,0
288,Gary Matthews,R,74,185,0.281,234
289,Cesar Geronimo,L,72,165,0.258,51
290,Billy Bryan,L,76,200,0.216,41
291,Terry Taylor,R,73,180,0,0
292,Terry Whitfield,L,73,197,0.281,33
293,Mario Mendoza,R,71,170,0.215,4
294,Fred Lynn,L,73,185,0.283,306
295,Larry Hisle,R,74,193,0.273,166
296,Graig Nettles,L,72,180,0.248,390
297,Randy Nosek,R,76,215,0,0
298,Dave Engle,R,75,210,0.262,31
299,Narciso Elvira,L,70,160,0,0
300,Mike Easler,L,72,190,0.293,118
301,Mark Smith,R,74,215,0,0
302,Paul Mitchell,R,73,195,0,0
303,Rick Sweet,B,73,200,0.234,6
304,Thurman Munson,R,71,190,0.292,113
305,Rick Monday,L,75,193,0.264,241
306,Mike Sadek,R,69,165,0.226,5
307,Mark Belanger,R,73,170,0.228,20
308,Ron Hunt,R,72,186,0.273,39
309,Joe Keough,L,72,185,0.246,9
310,Butch Edge,R,75,203,0,0
311,Vic Correll,R,70,185,0.229,29
312,Jackie Hernandez,R,71,165,0.208,12
313,Tony Solaita,L,72,210,0.255,50
314,U L Washington,B,71,175,0.251,27
315,Gary Mielke,R,75,185,0,0
316,Rick Henninger,R,78,225,0,0
317,Joe Foy,R,72,215,0.248,58
318,Ed Goodson,L,75,180,0.26,30
319,Mark Brown,B,74,190,0,0
320,Mickey Klutts,R,71,170,0.241,14
321,Leroy Stanton,R,73,195,0.244,77
322,Rafael Vasquez,R,72,160,0,0
323,Len Whitehouse,L,71,175,0,0
324,Danny Ainge,R,76,175,0.22,2
325,Adolfo Phillips,R,73,175,0.247,59
326,Marv Breeding,R,72,175,0.25,7
327,Steve Adkins,R,78,210,0,0
328,Dick McAuliffe,L,71,176,0.247,197
329,Joe Horlen,R,72,170,0.134,0
330,Glenn Burke,R,72,195,0.237,2
331,Tony Mack,R,70,177,0,0
332,Terry Humphrey,R,75,185,0.211,6
333,Bill Moran,R,76,210,0,0
334,Enzo Hernandez,R,68,155,0.224,2
335,Cesar Gutierrez,R,69,155,0.235,0
336,Coco Laboy,R,70,165,0.233,28
337,Ted Kubiak,B,72,175,0.231,13
338,Jim Morrison,R,71,175,0.26,112
339,Tom Gilles,R,73,185,0,0
340,Bobby Knoop,R,73,170,0.236,56
341,Bobby Brown,B,74,190,0.245,26
342,Tom Hutton,L,71,180,0.248,22
343,Ron Hodges,L,73,185,0.24,19
344,Rich Chiles,L,71,170,0.254,6
345,Tom Paciorek,R,76,215,0.282,86
346,Gary Woods,R,74,185,0.243,13
347,Bob Montgomery,R,73,195,0.258,23
348,Jeff Burroughs,R,73,200,0.261,240
349,Rusty Staub,L,74,190,0.279,292
350,Jim Norris,L,70,175,0.264,7
351,Oscar Gamble,L,71,160,0.265,200
352,Bob Kammeyer,R,76,210,0,0
353,George Vukovich,L,72,198,0.268,27
354,Joe Pactwa,L,71,185,0,0
355,Craig Reynolds,L,73,175,0.256,42
356,Paul Blair,R,72,168,0.25,134
357,Al Cowens,R,73,197,0.27,108
358,Al Oliver,L,72,195,0.303,219
359,Dave Hilton,R,71,191,0.213,6
360,Luis Alvarado,R,69,162,0.214,5
361,Larry Parrish,R,75,190,0.263,256
362,Woodie Fryman,R,75,197,0.138,2
363,Bob Randall,R,74,175,0.257,1
364,Jim Pankovits,R,70,170,0.25,9
365,Sherman Corbett,L,76,205,0,0
366,Carmen Fanzone,R,72,200,0.224,20
367,Gary Allenson,R,71,185,0.221,19
368,Milt May,L,72,190,0.263,77
369,Mike Vail,R,73,180,0.279,34
370,Nick Esasky,R,75,200,0.25,122
371,Jim Nettles,L,72,186,0.22,16
372,Lafayette Currence,B,71,175,0,0
373,Chris Cannizzaro,R,72,190,0.235,18
374,Larry Biittner,L,74,205,0.273,29
375,John Pawlowski,R,74,175,0,0
376,Mel Stottlemyre,R,73,178,0.16,7
377,Jack Hardy,R,74,175,0,0
378,Ron Musselman,R,74,185,0,0
379,Roy Smalley,B,73,185,0.257,163
380,Tony Chevez,R,71,177,0,0
381,Andy Messersmith,R,73,200,0.17,5
382,Richie Zisk,R,73,200,0.287,207
383,Dave Chalk,R,70,175,0.252,15
384,Don Baylor,R,73,190,0.26,338
385,John Vukovich,R,73,187,0.161,6
386,Danny Thompson,R,72,183,0.248,15
387,Joe Simpson,L,75,175,0.242,9
388,Bill Fahey,L,72,200,0.241,7
389,Doug Camilli,R,71,195,0.199,18
390,Bernie Allen,L,72,175,0.239,73
391,Bruce Bochy,R,75,205,0.239,26
392,Gary Ignasiak,R,71,185,0,0
393,Claudell Washington,L,72,190,0.278,164
394,John Donaldson,L,71,160,0.238,4
395,Mike Smithson,L,80,215,0,0
396,John Mayberry,L,75,215,0.253,255
397,Ken Reitz,R,72,180,0.26,68
398,Amos Otis,R,71,165,0.277,193
399,Gene Alley,R,70,160,0.254,55
400,Ted Sizemore,R,70,165,0.262,23
401,Dan Briggs,L,72,180,0.195,12
402,Joe Skalski,R,75,190,0,0
403,Doug Flynn,R,71,165,0.238,7
404,Bert Bradley,B,73,190,0,0
405,Ken Holtzman,R,74,175,0.163,2
406,Pete Ward,L,73,185,0.254,98
407,Kevin Bell,R,72,195,0.222,13
408,Tom Nieto,R,73,193,0.205,5
409,Duke Sims,L,74,197,0.239,100
410,Larvell Blanks,R,68,167,0.253,20
411,Francisco Barrios,R,71,155,0,0
412,Mike Davis,L,74,175,0.259,91
413,Jerry Reuss,L,77,200,0.167,1
414,Steve Yeager,R,72,190,0.228,102
415,Danny Goodwin,L,73,195,0.236,13
416,Bud Harrelson,B,71,160,0.236,7
417,Bob Knepper,L,75,195,0.137,6
418,Mickey Rivers,L,70,165,0.295,61
419,Jim Northrup,L,75,190,0.267,153
420,John Hale,L,74,195,0.201,14
421,Reggie Ritter,L,74,195,0,0
422,Pedro Garcia,R,70,175,0.22,37
423,Carl Yastrzemski,L,71,175,0.285,452
424,Bob Babcock,R,77,210,0,0
425,Craig Eaton,R,71,175,0,0
426,Derrel Thomas,B,72,160,0.249,43
427,Art Howe,R,74,190,0.26,43
428,Ike Brown,R,72,190,0.256,20
429,Howie Goss,R,76,204,0.216,11
430,Glenn Borgmann,R,76,210,0.229,16
431,Lamar Johnson,R,74,215,0.287,64
432,Julio Gonzalez,R,71,162,0.235,4
433,Bobby Klaus,R,70,170,0.208,6
434,Manny Sanguillen,R,72,193,0.296,65
435,Gates Brown,L,71,220,0.257,84
436,Johnny Ray,B,71,170,0.29,53
437,Jesus Alou,R,74,190,0.28,32
438,Ken Landreaux,L,70,165,0.268,91
439,Enos Cabell,R,76,170,0.277,60
440,Roy Branch,R,72,175,0,0
441,Billy North,B,71,185,0.261,20
442,Juan Beniquez,R,71,150,0.274,79
443,Frank Fernandez,R,72,185,0.199,39
444,Bombo Rivera,R,70,187,0.265,10
445,Steve Brye,R,72,190,0.258,30
446,Ron Jackson,R,72,200,0.259,56
447,Roger Metzger,B,72,165,0.231,5
448,Rufino Linares,R,72,170,0.27,11
449,Ray Webster,L,72,185,0.244,17
450,Bob Kearney,R,72,190,0.233,27
451,Fergie Jenkins,R,77,205,0.165,13
452,Dick Dietz,R,73,195,0.261,66
453,Ted Cox,R,75,195,0.245,10
454,Bobby Mitchell,L,70,170,0.243,3
455,Bobby Mitchell,R,75,185,0.235,21
456,Barry Evans,R,73,180,0.251,2
457,Mickey Brantley,R,70,180,0.259,32
458,Al Gallagher,R,72,180,0.263,11
459,Rob Woodward,R,75,185,0,0
460,Hector Cruz,R,71,170,0.225,39
461,Fred Norman,B,68,155,0.125,0
462,Woody Woodward,R,74,180,0.236,1
463,Ted Martinez,R,72,165,0.24,7
464,Jim Anderson,R,72,170,0.218,13
465,Lenn Sakata,R,69,160,0.23,25
466,Dave Duncan,R,74,190,0.214,109
467,Randy Jones,R,72,178,0.132,0
468,Dick Billings,R,73,195,0.227,16
469,Bob Veselic,R,72,175,0,0
470,Bruce Bochte,L,75,195,0.282,100
471,Bernie Carbo,L,71,173,0.264,96
472,Vic Davalillo,L,67,150,0.279,36
473,Burt Hooton,R,73,210,0.123,4
474,Chuck Hockenbery,B,73,195,0,0
475,Bob Ferris,R,78,225,0,0
476,Fernando Gonzalez,R,70,165,0.235,17
477,Jim Sundberg,R,72,190,0.248,95
478,Andy Kosco,R,75,205,0.236,73
479,Steve Huntz,B,73,204,0.206,16
480,Gary Wheelock,R,75,205,0,0
481,Lenny Faedo,R,72,170,0.251,5
482,John Lowenstein,L,72,175,0.253,116
483,Don Kessinger,B,73,170,0.252,14
484,Joe Hague,L,72,195,0.239,40
485,Bake McBride,L,74,190,0.299,63
486,Dick Davis,R,75,190,0.265,27
487,Richie Scheinblum,B,73,180,0.263,13
488,Ed Herrmann,L,73,195,0.24,80
489,Mike Rochford,L,76,205,0,0
490,Jeff Schneider,B,75,195,0,0
491,Bob Molinaro,L,72,190,0.264,14
492,Mike Hegan,L,73,188,0.242,53
493,Mike Diaz,R,74,195,0.247,31
494,Tim Foli,R,72,179,0.251,25
495,Alan Knicely,R,72,190,0.213,12
496,Tim Laudner,R,75,212,0.225,77
497,Jose Morales,R,71,187,0.287,26
498,Luis Encarnacion,R,70,178,0,0
499,Rick Kreuger,R,74,185,0,0
500,Juan Marichal,R,72,185,0.165,4
501,Vida Blue,B,72,189,0.104,4
502,Angel Moreno,L,69,165,0,0
503,Roger Weaver,R,75,190,0,0
504,Stan Papi,R,72,170,0.218,7
505,Rob Wilfong,L,73,180,0.248,39
506,Chris Knapp,R,77,195,0,0
507,Steve Henderson,R,74,190,0.28,68
508,Rob Picciolo,R,74,185,0.234,17
509,Don Welchel,R,76,205,0,0
510,Randy Wiles,L,73,185,0,0
511,Roberto Pena,R,68,170,0.245,13
512,Bob Dernier,R,72,160,0.255,23
513,Bill Melton,R,74,200,0.253,160
514,Albert Hall,B,71,155,0.251,5
515,Barbaro Garbey,R,70,170,0.267,11
516,John Milner,L,72,185,0.249,131
517,Rich Reese,L,75,185,0.253,52
518,Chris Bando,B,72,195,0.227,27
519,Bill Buckner,L,72,185,0.289,174
520,Jack Hiatt,R,74,190,0.251,22
521,Nelson Mathews,R,76,195,0.223,22
522,Larry Lintz,B,69,150,0.227,0
523,Ron Theobald,R,68,165,0.248,2
524,Dewey Robinson,R,72,180,0,0
525,Rafael Santana,R,73,165,0.246,13
526,Jerry Hairston,B,70,170,0.258,30
527,Tony Arnold,R,71,170,0,0
528,Jeff Schattinger,L,77,200,0,0
529,Ike Brookens,R,77,170,0,0
530,Tommie Aaron,R,75,190,0.229,13
531,Steve Dillard,R,73,180,0.243,13
532,Win Remmerswaal,R,74,160,0,0
533,Jeff Peterek,R,74,195,0,0
534,George Scott,R,74,200,0.268,271
535,Jeff Shaver,R,75,195,0,0
536,Ken Walters,R,73,180,0.231,11
537,Gorman Thomas,R,74,210,0.225,268
538,Paul Dade,R,73,185,0.27,10
539,Darrell Porter,L,72,193,0.247,188
540,Tim Johnson,L,73,170,0.223,0
541,Fred Stanley,R,70,165,0.216,10
542,Larry Bowa,B,70,155,0.26,15
543,Tim Corcoran,L,71,175,0.27,12
544,Jim Spencer,L,74,195,0.25,146
545,Pete LaCock,L,74,200,0.257,27
546,Carl Morton,R,72,200,0.156,7
547,Gary Gray,R,72,187,0.24,24
548,Matty Alou,L,69,160,0.307,31
549,Pete Filson,B,74,195,0,0
550,Jim Dwyer,L,70,165,0.26,77
551,Dalton Jones,L,73,180,0.235,41
552,Rennie Stennett,R,71,160,0.274,41
553,Jim Gideon,R,75,190,0,0
554,Jerry May,R,74,190,0.234,15
555,Rich McKinney,R,71,185,0.225,20
556,Clint Hurdle,L,75,195,0.259,32
557,Mike Andrews,R,75,195,0.258,66
558,Bobby Clark,R,72,190,0.239,19
559,Jeff Twitty,L,74,185,0,0
560,Cliff Johnson,R,76,215,0.258,196
561,Steve Cummings,B,74,200,0,0
562,Donn Clendenon,R,76,209,0.274,159
563,Charlie James,R,73,195,0.255,29
564,Bob Horner,R,73,195,0.277,218
565,Tom Veryzer,R,73,175,0.241,14
566,Jose Cecena,R,71,180,0,0
567,George Smith,R,70,170,0.205,9
568,Jim Essian,R,74,195,0.244,33
569,Onix Concepcion,R,66,160,0.239,3
570,Boots Day,L,69,160,0.256,8
571,Brian Giles,R,73,165,0.228,10
572,Garry Maddox,R,75,175,0.285,117
573,Alex Trevino,R,70,165,0.249,23
574,Jim Price,R,72,192,0.214,18
575,Felix Millan,R,71,172,0.279,22
576,Steve Garvey,R,70,192,0.294,272
577,Don Mincher,L,75,205,0.249,200
578,Greg Erardi,R,73,190,0,0
579,Jim Farr,R,73,195,0,0
580,Tony Cloninger,R,72,210,0.192,11
